x' M' F' M' F M' U' F M' F' U M'  (11s*) 
x' F' M2 U2 B2 M' B2 U M' U F U M' U'  (13s) 
x' F' U2 M2 F2 M' F2 U M' U F U M' U'  (13s) 
x' F' U2 B2 M' B2 M2 U M' U F U M' U'  (13s) 
x' F' U2 F M' U F U M2 F2 U' F' M2 U'  (13s) 
B M U2 R' U M2 U2 M' U L F2 M2 U'  (13s) 
B M U2 R' U M' U2 M2 U L F2 M2 U'  (13s) 
x2 F' R F M B2 M2 F' M2 B2 L' U2 M U'  (13s) 
x2 F' R F' M2 B2 M F M2 B2 L' U2 M U'  (13s) 
x2 F' R F M F2 M2 F' M2 F2 L' U2 M U'  (13s) 
x2 F' R F M2 F2 M F' M2 F2 L' U2 M U'  (13s) 
x' F' M2 U2 M U' M2 U2 M U F U M U'  (13s) 
M B2 L U M2 U' F2 U' M U F2 R' U2  (13s) 
B2 L M U M2 U' F2 U' M U F2 R' U2  (13s) 
x' U2 R U' M2 U B2 U M' U' M2 B2 R' U2  (13s) 
U' M U B2 R U' B M' B' U L R2 U2  (13s) 
B2 L U M2 U' R' F U2 M U2 M F' U2  (13s) 
x M D2 B M B2 L2 R' U' M' U R' F U2  (13s) 
x D2 M B M B2 L2 R' U' M' U R' F U2  (13s) 
M B2 U M U2 L M' U' M' U R' F U2  (13s) 
B2 M U M U2 L M' U' M' U R' F U2  (13s) 
x' M U2 F M F2 R M2 U' M' U R' F U2  (13s) 
x' U2 M F M F2 R M2 U' M' U R' F U2  (13s) 
B2 L U M2 U' R' F' M D2 M D2 F U2  (13s) 
x' U2 F M2 U' M' F M F' U F2 M F U2  (13s) 
x' M' U2 R U M2 U' R' F M F2 M F U2  (13s) 
x' U2 R M' U M2 U' R' F M F2 M F U2  (13s) 
x' U2 L F M2 F' L' M' F M F2 M F U2  (13s) 
